Date,Close,Open,High,Low
2022-01-01 00:00:00,46654.84845333829,46216.83198849484,46738.03074179247,46208.74540255748
2022-01-01 01:00:00,46778.50333602293,46654.853493878,46946.09896779527,46574.28986564716
2022-01-01 02:00:00,46809.62133568624,46778.58063016798,46928.64624655469,46722.60910035497
2022-01-01 03:00:00,46815.03050471856,46809.36381481198,46922.43190408621,46759.5310550036
2022-01-01 04:00:00,46710.880592894406,46814.563263820026,46886.68625299872,46597.30274647954
2022-01-01 05:00:00,47192.56129655327,46710.85795859445,47556.55539324084,46673.47910062668
2022-01-01 06:00:00,46980.09432569981,47193.79644452084,47325.34733339064,46937.60172398973
2022-01-01 07:00:00,47195.03754257679,46979.95805716774,47254.77268019509,46873.28545064159
2022-01-01 08:00:00,47122.145207754016,47195.096438256616,47342.99444671095,47076.82625601543
2022-01-01 09:00:00,47144.318881194544,47122.669278755406,47214.05684381034,46933.70078933667
2022-01-01 10:00:00,46870.2903552682,47144.41566605893,47296.7645427002,46714.39386770902
2022-01-01 11:00:00,46759.62524369608,46870.43595521109,47007.64941568504,46756.68191946969
2022-01-01 12:00:00,47074.03913973433,46759.767057944,47148.616378411774,46757.7552755992
2022-01-01 13:00:00,47022.52650489869,47074.01479464961,47197.56472004645,46935.86686473201
2022-01-01 14:00:00,46925.64405964014,47022.1885739942,47105.52500926612,46857.01761752814
2022-01-01 15:00:00,47218.71011192052,46920.73607719455,47490.95565077911,46871.61076217698
2022-01-01 16:00:00,47269.6188141016,47218.661267515374,47525.338911449726,47185.53717537702
2022-01-01 17:00:00,47753.08656044357,47269.84530250151,47950.52072841332,47239.586934226376
2022-01-01 18:00:00,47563.77414123282,47753.22416678577,47843.49461627728,47421.50251241917
2022-01-01 19:00:00,47330.33887375202,47562.74412964445,47613.91581679322,47293.68662347926
2022-01-01 20:00:00,47393.17443385295,47330.55974365771,47559.77218250373,47252.90067962905
2022-01-01 21:00:00,47320.91176317823,47393.001650161306,47566.70378292729,47270.71533405643
2022-01-01 22:00:00,47441.54131446155,47321.28963952293,47489.67898944164,47222.8007278963
2022-01-01 23:00:00,47724.237624172005,47441.663223468095,47813.70648964888,47279.72584624888
2022-01-02 00:00:00,47625.23116009157,47723.682272640326,47752.047987276055,47381.47796752389
2022-01-02 01:00:00,47375.53103966524,47625.18276273613,47641.216822824514,47314.97304833197
2022-01-02 02:00:00,47371.8813970235,47376.09255586351,47449.31720900798,47274.55813839306
2022-01-02 03:00:00,47330.87918255809,47371.7964090756,47465.9221757119,47269.17946727063
2022-01-02 04:00:00,46909.94568478635,47330.32232493065,47416.39335681669,46766.26757486057
2022-01-02 05:00:00,47081.66668705161,46909.9362844564,47089.39454204283,46832.39011535823
2022-01-02 06:00:00,47123.05211426724,47081.68615281967,47243.49230897542,47011.67576812943
2022-01-02 07:00:00,47175.07492732763,47122.75028229619,47297.37005981654,47088.57429258085
2022-01-02 08:00:00,47221.01082684062,47175.29801910068,47247.48465795434,46972.83919923408
2022-01-02 09:00:00,47274.48987157093,47221.101432134106,47496.11227478219,47144.56232467932
2022-01-02 10:00:00,47189.261936331866,47274.43149066366,47347.55328650223,47139.42371021289
2022-01-02 11:00:00,47236.10909038319,47189.29766197704,47399.32564993292,47160.49016154316
2022-01-02 12:00:00,47292.48724734638,47238.773819546535,47446.60616795436,47014.839028955146
2022-01-02 13:00:00,47136.16689638031,47289.84533765874,47300.28802472487,47090.3404614733
2022-01-02 14:00:00,47114.34302803799,47136.14034950547,47201.84265459892,47019.82841836957
2022-01-02 15:00:00,47340.51718206627,47114.68575831808,47388.789677430526,47073.53268778665
2022-01-02 16:00:00,47791.424177836045,47340.54811386868,47886.80480955606,47274.79040424779
2022-01-02 17:00:00,47403.9765362489,47791.44562478163,47989.99999999999,47321.1150392461
2022-01-02 18:00:00,47057.1395694468,47404.009901085374,47404.009901085374,46654.49973401984
2022-01-02 19:00:00,46907.38811725378,47055.85307550942,47216.3018831158,46852.37424656889
2022-01-02 20:00:00,47007.16948202959,46907.4175601216,47051.23455998927,46816.79703950824
2022-01-02 21:00:00,47019.51919877977,47007.17861779656,47184.1954559373,46914.89436106772
2022-01-02 22:00:00,47255.69301081882,47018.94382539262,47398.80560253743,47015.60858102048
2022-01-02 23:00:00,47287.36230049963,47255.89700074807,47468.09037989896,47255.8891044856
2022-01-03 00:00:00,47051.13356721708,47287.10020427822,47289.5417625146,47051.06690351098
